addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
PANGYO,7,인프랩 (인프런),https://cdn.rallit.com/image/2022-01-06/zWVCtXZfCDVujmzobblNq.png,9999-12-31,3527,False,False,IRRELEVANT,INTERN,"Google Sheets, Excel, MS-Office, spreadsheets, 커뮤니케이션, 총무/사무, 경영지원",0,,1970-01-01,HIRING,모집 중,총무 매니저,https://www.rallit.com/positions/3527
SEOUL,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3456,False,False,IRRELEVANT,TOP,"HR, Slack, JIRA, Confluence, MS-Office",0,,1970-01-01,HIRING,모집 중,HR Lead,https://www.rallit.com/positions/3456
SEOUL,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3551,False,False,IRRELEVANT,INTERN,"HR, Slack, JIRA, Confluence, MS-Office",0,,1970-01-01,HIRING,모집 중,Recruiting Coordinator,https://www.rallit.com/positions/3551
SEOUL,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3457,False,False,IRRELEVANT,MIDDLE,"HR, Slack, JIRA, Confluence, MS-Office",0,,1970-01-01,HIRING,모집 중,Payroll Manager,https://www.rallit.com/positions/3457
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,3539,False,True,IRRELEVANT,IRRELEVANT,총무/사무,0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,경영지원실 총무 인턴 (정규직 전환 가능),https://www.rallit.com/positions/3539
SEOUL,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3455,False,False,IRRELEVANT,INTERN,"HR, Slack, JIRA, Confluence, MS-Office",0,,1970-01-01,HIRING,모집 중,HR Intern,https://www.rallit.com/positions/3455
GYEONGGI,1290,주식회사 오오칠팔구,https://cdn.rallit.com/image/2025-03-07/dK9iL5FMzCdPSMeQ47aH6.png,9999-12-31,3438,False,False,IRRELEVANT,"JUNIOR, MIDDLE",MS-Office,100,,1970-01-01,HIRING,모집 중,스타트업 경영지원 매니저 채용,https://www.rallit.com/positions/3438
GYEONGGI,1371,균형과매듭(주),https://image.rivers.co.kr/files/2025-05-30/1748568076228/company-represent-image-1748568076008.png,9999-12-31,3546,False,True,IRRELEVANT,IRRELEVANT,"MS-Office, 한글, ppt, Excel",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,"운영관리 신입,경력(3년이상 팀장)",https://www.rallit.com/positions/3546
GANGNAM,281,핏펫,https://cdn.rallit.com/image/2023-01-12/JiAs7tU1oLiEEjxuginsT.jpg,9999-12-31,3448,False,False,MIDDLE,MIDDLE,구매,0,,1970-01-01,HIRING,모집 중,[핏펫] 구매&SCM 담당자,https://www.rallit.com/positions/3448
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2870,False,True,MIDDLE,MIDDLE,채용,0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,채용 매니저,https://www.rallit.com/positions/2870
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2713,False,True,IRRELEVANT,IRRELEVANT,채용,0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,채용 인턴 (정규직 전환 가능),https://www.rallit.com/positions/2713
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2714,False,True,IRRELEVANT,IRRELEVANT,경영지원,0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,경영지원 인턴 (정규직 전환 가능),https://www.rallit.com/positions/2714
